candidate_id,accreditation_id,university,program_name,degree,specialty,stage_id,completed,dual_guess,accreditation_decision,naqa_decision,possible_solution,has_es_summary,has_ger,has_naqa_decision,se_status,error
16632,20122,Український державний університет науки і технологій,Середня освіта. Англійська мова і література та друга іноземна мова,BA,014,600,False,True,,,,False,False,False,2.1 Справа на розгляді керівника ЗВО,
16462,19958,Харківський національний педагогічний університет імені Г.С. Сковороди,Хімія та біологія в закладах освіти,BA,014,600,False,False,,,,False,False,False,2.1 Справа на розгляді керівника ЗВО,
16425,19797,Мелітопольський державний педагогічний університет імені Богдана Хмельницького,"Середня освіта. Хімія. Біологія, здоров`я людини та природознавство",BA,014,600,False,True,,,,False,False,False,2.1 Справа на розгляді керівника ЗВО,
16332,19629,Сумський державний університет,Англійська та німецька мови та літератури,BA,014,600,False,False,,,,False,False,False,2.1 Справа на розгляді керівника ЗВО,
16310,19720,Харківський національний педагогічний університет імені Г.С. Сковороди,"Біологія та здоров’я людини, практична психологія в закладах освіти",BA,014,600,False,False,,,,False,False,False,2.1 Справа на розгляді керівника ЗВО,
16286,19587,Кам'янець-Подільський національний університет імені Івана Огієнка,Середня освіта (Географія. Історія),BA,014,2200,False,True,5,,,False,False,False,6.1 Програма візиту направлена на погодження до ЗВО,
16262,19496,"Державний заклад ""Луганський національний університет імені Тараса Шевченка""","Мова і література (іспанська, англійська)",BA,014,600,False,False,,,,False,False,False,2.1 Справа на розгляді керівника ЗВО,
16105,19553,"Державний заклад ""Луганський національний університет імені Тараса Шевченка""",Математика. Фізика,BA,014,600,False,True,,,,False,False,False,2.1 Справа на розгляді керівника ЗВО,
16086,19525,Мелітопольський державний педагогічний університет імені Богдана Хмельницького,Середня освіта. Англійська та німецька мови. Психологія,BA,014,600,False,True,,,,False,False,False,2.1 Справа на розгляді керівника ЗВО,
15944,19317,Дрогобицький державний педагогічний університет імені Івана Франка,"Середня освіта (Фізика, інформатика)",BA,014,2200,False,False,5,,,False,False,False,6.1 Програма візиту направлена на погодження до ЗВО,
15840,18925,Дрогобицький державний педагогічний університет імені Івана Франка,"Середня освіта (Трудове навчання та технології, інформатика)",BA,014,2700,True,False,5,4,1,True,True,True,6.1 Програма візиту направлена на погодження до ЗВО,
15818,19030,Західноукраїнський національний університет,Польська мова і зарубіжна література та Українська мова і література,BA,014,2700,True,False,2,2,2,True,True,True,6.1 Програма візиту направлена на погодження до ЗВО,
15783,18910,Дрогобицький державний педагогічний університет імені Івана Франка,"Середня освіта (Інформатика, математика)",BA,014,2700,True,False,5,4,2,True,True,True,6.1 Програма візиту направлена на погодження до ЗВО,
15601,18628,Тернопільський національний педагогічний університет імені Володимира Гнатюка,"Середня освіта (Математика, інформатика)",BA,014,2700,True,False,5,4,1,True,True,True,6.1 Програма візиту направлена на погодження до ЗВО,
15556,18576,Тернопільський національний педагогічний університет імені Володимира Гнатюка,"Середня освіта (Польська мова і література, українська мова і література)",BA,014,2700,True,False,5,4,1,True,True,True,6.1 Програма візиту направлена на погодження до ЗВО,
15520,18592,Вінницький державний педагогічний університет імені Михайла Коцюбинського,"Середня освіта. Інформатика, математика",BA,014,2700,True,True,2,2,2,True,True,True,6.1 Програма візиту направлена на погодження до ЗВО,
15471,18511,Чернівецький національний університет імені Юрія Федьковича,Інформатика та математика,BA,014,600,False,False,,,,False,False,False,2.1 Справа на розгляді керівника ЗВО,
15430,18596,Полтавський національний педагогічний університет імені В.Г. Короленка,Середня освіта (Мова і література (німецька) та мова і література (англійська)),BA,014,2700,True,True,5,4,1,True,True,True,6.1 Програма візиту направлена на погодження до ЗВО,
15311,18446,Тернопільський національний педагогічний університет імені Володимира Гнатюка,"Середня освіта (Хімія, біологія та здоров'я людини)",BA,014,2700,True,False,5,4,1,True,True,True,6.1 Програма візиту направлена на погодження до ЗВО,
15214,18382,Сумський державний педагогічний університет імені А. С. Макаренка,Середня освіта (Українська мова і література. Англійська мова),BA,014,600,False,True,,,,False,False,False,2.1 Справа на розгляді керівника ЗВО,
15181,18327,"Державний вищий навчальний заклад ""Ужгородський національний університет""",Фізика. Інформатика (мова навчання фахових дисциплін – угорська),BA,014,2700,True,False,5,4,1,True,True,True,6.1 Програма візиту направлена на погодження до ЗВО,
14245,16807,Кам'янець-Подільський національний університет імені Івана Огієнка,Середня освіта (Географія. Історія),BA,014,2700,True,True,5,2,3,True,True,True,6.1 Програма візиту направлена на погодження до ЗВО,
14138,16722,Харківський національний педагогічний університет імені Г.С. Сковороди,"Біологія та здоров’я людини, практична психологія в закладах освіти",BA,014,600,False,False,,,,False,False,False,2.1 Справа на розгляді керівника ЗВО,
14064,16718,Харківський національний педагогічний університет імені Г.С. Сковороди,Хімія та біологія в закладах освіти,BA,014,600,False,False,,,,False,False,False,2.1 Справа на розгляді керівника ЗВО,
13991,16459,"Державний заклад ""Луганський національний університет імені Тараса Шевченка""",Математика. Фізика,BA,014,600,False,True,,,,False,False,False,2.1 Справа на розгляді керівника ЗВО,
13945,16265,Волинський національний університет імені Лесі Українки,Середня освіта. Англійська та друга іноземна мови. Зарубіжна література,BA,014,2700,True,True,2,2,1,True,True,True,6.1 Програма візиту направлена на погодження до ЗВО,
13868,16452,"Державний заклад ""Луганський національний університет імені Тараса Шевченка""","Мова і література (іспанська, англійська)",BA,014,600,False,False,,,,False,False,False,2.1 Справа на розгляді керівника ЗВО,
13852,16453,Мелітопольський державний педагогічний університет імені Богдана Хмельницького,Середня освіта. Англійська та німецька мови. Психологія,BA,014,600,False,True,,,,False,False,False,2.1 Справа на розгляді керівника ЗВО,
13823,16145,Дрогобицький державний педагогічний університет імені Івана Франка,"Середня освіта (Трудове навчання та технології, інформатика)",BA,014,2700,True,False,2,2,1,True,True,True,6.1 Програма візиту направлена на погодження до ЗВО,
13755,16165,Дрогобицький державний педагогічний університет імені Івана Франка,"Середня освіта (Фізика, інформатика)",BA,014,2700,True,False,2,2,2,True,True,True,6.1 Програма візиту направлена на погодження до ЗВО,
13718,16328,Волинський національний університет імені Лесі Українки,Середня освіта. Польська та англійська мови. Зарубіжна література,BA,014,2700,True,True,5,4,1,True,True,True,6.1 Програма візиту направлена на погодження до ЗВО,
14464,17264,Бердянський державний педагогічний університет,Середня освіта (фізика та астрономія),MA,014,2700,True,False,2,2,2,True,True,True,6.1 Програма візиту направлена на погодження до ЗВО,
