case_id,institution_name,program_name,component_index,component_name,component_type,credits,hours,control_form,has_syllabus,syllabus_filename,resources
16086,,Документи акредитаційної справи,0,Теоретична граматика англійської мови,навчальна дисципліна,,,,True,OK_14_Teoretychna_gramatyka_angliiskoiy_movy.pdf,"Комп’ютерний клас із 9 комп’ютерів (LG 19M38A ‒ 2019 р.) з каналами доступу до мережі Internet та безкоштовним програмним забезпеченням, ноутбуки EU Lenovo IdeaPad 3 15ALC6 (2022), 20 од. Навушники SV"
16086,,Документи акредитаційної справи,1,Кваліфікаційний екзамен з психології,підсумкова атестація,,,,True,Kvalifikatsiinyi ekzamen z psychologii.pdf,"Проектор Aсer X118 3600 ANSI люмен, 1 од., 2018 р., екран для проєктора, 2018 р., інтерактивна дошка Intboard UT-TBI82S (2022), ноутбук ACER ASPIRE 3 A315-58 (2022), 20 од., маленька сенсорна кімната "
16086,,Документи акредитаційної справи,2,Фонетика англійської мови,навчальна дисципліна,,,,True,OK_13_Fonetyka_angliiskoiy_movy.pdf,"Комп’ютерний клас із 9 комп’ютерів (LG 19M38A ‒ 2019 р.) з каналами доступу до мережі Internet та безкоштовним програмним забезпеченням, ноутбуки EU Lenovo IdeaPad 3 15ALC6 (2022), 20 од. Навушники SV"
16086,,Документи акредитаційної справи,3,Виробнича практика,практика,,,,True,Vyrobnycha praktyka.pdf,"Мультимедійний проєктор для презентацій Epson (2019), інтерактивна дошка Intboard UT-TBI82S (2022), ноутбук ACER ASPIRE 3 A315-58 (2022), 20 од., екран мобільний на тринозі 120” ELITE SCREENS T120NWV1"
16086,,Документи акредитаційної справи,4,Педагогіка з навчальною практикою,навчальна дисципліна,,,,True,OK_20_Pedagogika_z_navchalnoiu_praktykoiu.pdf,"Мультимедійний проєктор для презентацій Epson (2019), інтерактивна дошка Intboard UT-TBI82S (2022), ноутбук ACER ASPIRE 3 A315-58 (2022), 20 од., екран мобільний на тринозі 120” ELITE SCREENS T120NWV1"
16086,,Документи акредитаційної справи,5,Література англомовних країн,навчальна дисципліна,,,,True,Literatura anglomovnyh krain.pdf,"Комп’ютерний клас із 9 комп’ютерів (LG 19M38A ‒ 2019 р.) з каналами доступу до мережі Internet та безкоштовним програмним забезпеченням, ноутбуки EU Lenovo IdeaPad 3 15ALC6 (2022), 20 од. Навушники SV"
16086,,Документи акредитаційної справи,6,Інформаційно-комунікаційні технології,навчальна дисципліна,,,,True,OK_22_Informatsiino-komunikatsiini_tehnologii.pdf,"Комп’ютерний клас із 9 комп’ютерів (LG 19M38A ‒ 2019 р.) з каналами доступу до мережі Internet та безкоштовним програмним забезпеченням, ноутбуки EU Lenovo IdeaPad 3 15ALC6 (2022). Інтерактивна дошка "
16086,,Документи акредитаційної справи,7,Практичний курс англійської мови з мовленнєвою практикою,навчальна дисципліна,,,,True,OK_23_PKAM_z_MP.pdf,"Комп’ютерний клас із 9 комп’ютерів (LG 19M38A ‒ 2019 р.) з каналами доступу до мережі Internet та безкоштовним програмним забезпеченням, ноутбуки EU Lenovo IdeaPad 3 15ALC6 (2022), 20 од. Навушники SV"
16086,,Документи акредитаційної справи,8,Психологія особистості з курсовою роботою,навчальна дисципліна,,,,True,OK_24_Psyhologiia_osobystosti_z_kursovoiu_robotoiu.pdf,"Проектор Aсer X118 3600 ANSI люмен, 1 од., 2018 р., екран для проєктора, 2018 р., інтерактивна дошка Intboard UT-TBI82S (2022), ноутбук ACER ASPIRE 3 A315-58 (2022), 20 од., маленька сенсорна кімната "
16086,,Документи акредитаційної справи,9,Охорона праці з безпекою життєдіяльності,навчальна дисципліна,,,,True,OK_25_Ohorona_pratsi_z_bezpekoiu_zhyttiediialnosti.pdf,"Ноутбук ACER ASPIRE 3 A315-58 (2022), 20 од., навушники SVEN AP-520 (2022), проєктор Aсer X118 3600 ANSI люмен, 1 од., 2018 р., екран для проєктора, 2018 р. Проектор Optoma X400LVe (E9PX7D601EZ1), (20"
